Abundance_Controls,frac_aa_A,frac_aa_F,frac_aa_K,frac_aa_N,molecular_weight,gravy,fraction_exposed_polar_total,rsa_std,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_F,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Incubation Concentration (mg/ml),Abundance,NPUNID,Entry
0.0526721153550325,0.09439124487004104,0.04377564979480164,0.0560875512995896,0.03283173734610123,80729.70060000046,-0.4454172366621059,0.7879616963064295,0.237,0.0,0.09595959595959595,0.0101010101010101,0.469,0.272,29,288,5.0,40,0.1021839227595427,29,Q3SX14
0.00413334619983614,0.04,0.06,0.08,0.04,5983.862299999999,-0.568,0.48,0.126,0.0,0.1,0.06,0.82,0.04,39,282,5.0,40,0.1746619569080683,27,P56651
0.00511644371378327,0.11,0.05,0.07,0.05,10842.56439999999,-0.132,0.58,0.219,0.03703703703703703,0.04938271604938271,0.01234567901234568,0.74,0.16,29,288,5.0,40,0.0007609956813835,29,P04815
3.97818750745931e-05,0.0845771144278607,0.03482587064676617,0.03482587064676617,0.01492537313432836,22392.76489999999,-0.5905472636815922,0.6218905472636815,0.215,0.005847953216374269,0.09941520467836257,0.02923976608187134,0.711,0.259,39,282,5.0,40,0.0026014737315233,27,Q3T149
1.1402473564159,0.0891089108910891,0.04950495049504951,0.08415841584158416,0.0396039603960396,23182.16680000001,-0.3960396039603962,0.7970297029702971,0.225,0.02290076335877863,0.1374045801526718,0.01526717557251908,0.475,0.366,12,229,5.0,40,0.1384309926742286,33,Q3SZR3
0.0178769641842136,0.1075949367088608,0.01265822784810127,0.04430379746835443,0.01265822784810127,35979.43230000007,-0.6579113924050634,0.5854430379746836,0.153,0.003378378378378379,0.125,0.01013513513513514,0.206,0.0,-63,221,4.0,40,1.997849350609219,18,Q03247
3.97818750745931e-05,0.06616541353383458,0.03909774436090226,0.05263157894736842,0.02105263157894737,75781.66400000031,-0.3903759398496237,0.7654135338345864,0.234,0.0,0.107728337236534,0.01639344262295082,0.568,0.192,-12,271,5.0,40,0.106619770797802,25,Q32LP0
3.97818750745931e-05,0.05555555555555555,0.02083333333333333,0.04861111111111111,0.04166666666666666,16478.65749999998,-0.4215277777777777,0.6527777777777778,0.227,0.0,0.07079646017699115,0.0,0.639,0.243,-63,221,4.0,4,0.0073643877630759,17,P33046
3.97818750745931e-05,0.04774897680763984,0.03410641200545703,0.1091405184174625,0.04229195088676671,84729.75270000033,-0.7507503410641184,0.8731241473396999,0.248,0.0,0.2086167800453515,0.009070294784580499,0.461,0.181,12,291,5.0,40,0.2217624000160828,32,Q76LV2
0.000330044733731823,0.08739617190321415,0.05128205128205128,0.02672444925966053,0.02058504875406284,303218.308400001,-0.241097869266883,0.7612856626941134,0.209,0.001740139211136891,0.08700696055684455,0.0197215777262181,0.61,0.158,29,288,5.0,40,0.0480726705769517,29,P01267
3.97818750745931e-05,0.1173469387755102,0.02806122448979592,0.01275510204081633,0.01275510204081633,42226.48020000011,-0.08775510204081632,0.8316326530612245,0.248,0.0,0.1477272727272727,0.005681818181818182,0.383,0.199,-7,266,2.4,40,0.0401911616324173,34,A6H768
0.0211424450467587,0.04846526655896607,0.03554119547657512,0.07592891760904685,0.0420032310177706,68709.20260000016,-0.6087237479806135,0.6995153473344103,0.212,0.005964214711729622,0.06958250497017893,0.01988071570576541,0.703,0.221,29,226,5.0,4,0.0545919228540162,21,P01045
3.97818750745931e-05,0.05857142857142857,0.04285714285714286,0.04714285714285715,0.02428571428571429,79074.9310000003,-0.2078571428571431,0.8242857142857143,0.235,0.01587301587301587,0.119047619047619,0.007936507936507936,0.503,0.067,-49,218,5.0,40,0.0070943535582401,26,A6QNT4
3.97818750745931e-05,0.05275779376498801,0.04316546762589928,0.09832134292565947,0.0407673860911271,48037.92790000007,-1.075539568345322,0.8177458033573142,0.249,0.003731343283582089,0.1940298507462687,0.0,0.645,0.269,39,282,5.0,4,0.0127563700919241,22,P52193
0.0926176580800145,0.06623931623931624,0.05555555555555555,0.04914529914529914,0.02991452991452992,51722.63900000011,-0.07158119658119658,0.7713675213675214,0.253,0.007042253521126761,0.07042253521126761,0.01408450704225352,0.513,0.246,-42,149,5.0,4,2.462590764033166,19,P50448
3.97818750745931e-05,0.0752212389380531,0.03539823008849557,0.05752212389380531,0.05973451327433629,51446.72950000012,-0.4190265486725658,0.8473451327433629,0.241,0.008547008547008548,0.09401709401709402,0.0170940170940171,0.493,0.093,12,229,5.0,40,0.0499910152405841,33,Q3SWY2
0.558849807109976,0.108843537414966,0.06122448979591837,0.07482993197278912,0.01360544217687075,15726.77829999999,0.09251700680272115,0.6666666666666666,0.271,0.009615384615384616,0.1057692307692308,0.04807692307692308,0.599,0.354,-42,151,5.0,40,0.3766278169381772,28,O46375
3.97818750745931e-05,0.07482993197278912,0.02636054421768708,0.1079931972789116,0.04081632653061224,128823.7877000005,-0.675935374149659,0.7236394557823129,0.257,0.004624277456647399,0.1202312138728324,0.01502890173410405,0.656,0.221,29,288,5.0,40,0.0022074266350842,29,Q28824
