,Feature,F-Value,P-Value
0,Control Abundance,476.5222645568974,4.2783911003905525e-98
4,Molecular Weight,103.67138552103961,5.884777093728188e-24
12,nsp_secondary_structure_coil,37.406129314567565,1.084823238673537e-09
13,% Secondary Structure - Sheet,22.517174841990233,2.181232248593796e-06
11,% Exposed Amino Acid Y / Total Exposed,20.752490980819616,5.437096252088561e-06
3,% Amino Acid - Asparagine (N),18.961956941516906,1.3786396386019787e-05
16,NP_incubation Concentration (mg/mL),10.444877769236726,0.0012433524178447094
2,% Amino Acid - Histidine (H),10.440409001448481,0.0012463535292202177
7,% Exposed Nonpolar Amino Acids / Total Exposed,7.702257496945803,0.00554973241343687
1,% Amino Acid - Phenylalanine (F),4.511308091930718,0.033753955403384675
