Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
0	0	0	0	0	0	0	0	0	0	0	0	4895000	0	0	0	5542600	0	2838600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445000	0	0	0	503870	0	258060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4895000	0	0	0	5542600	0	2838600	0	0	0	0	Bos taurus				9913	P02510;A0A1B3B5V8;A0AAA9S8P3;A0A452DHT5;A0A3Q1MVQ3
16771999744	11230999552	6629100032	12757000192	4073900032	3969299968	19509999616	2300400128	41789001728	11616000000	15669000192	7174799872	7478199808	2631500032	6857299968	274040000	7098699776	31024001024	64125001728	5250100224	9088700416	9887200256	10620000256	540590016	501969984	216550000	508440000	169820000	131480000	741640000	94165000	1178899968	419950016	514750016	250800000	303990016	100670000	278569984	7848200	187840000	1830899968	2361700096	218010000	376489984	386609984	329969984	7071300096	5753699840	2858599936	6536699904	2110300032	1886400000	8366199808	1398700032	13859000320	4866800128	6223900160	2845900032	3579599872	1426300032	3789999872	126500000	2873200128	17141000192	25486999552	2473499904	4056600064	5217099776	4184999936	Bos taurus				9913	P01966;A0A1K0FUD3;A0AAA9SDV9;A0AAA9SI94;A0AAA9SF20
0	0	0	0	0	0	0	0	11643000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1455300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11643000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	P20414;A0A1L3G6H3;A0A452DI16;A0AAA9SIJ7
17217000	0	63547000	59181000	70749000	3346600	19341000	16842000	31319000	188270000	33790000	139620000	21762000	16807000	21315000	0	8576100	0	0	0	70148000	59332000	55587000	1434700	0	5295600	4931800	5895800	278890	1611800	1403500	2609900	15689000	2815900	11635000	1813500	1400600	1776300	0	714680	0	0	0	5845700	4944300	4632300	17321000	0	63932000	59539000	70749000	3366900	19458000	16944000	31508000	189410000	33995000	140460000	21894000	16909000	21444000	0	8628000	0	0	0	70572000	59691000	55923000	Bos taurus				9913	A0A3B0IZF8;Q1RMH5
39101000	0	148060000	218600000	253130000	0	55399000	48839000	52172000	816899968	43316000	410920000	36534000	38952000	93808000	0	3836300	0	0	0	246850000	224810000	191760000	1665300	0	1373100	1764800	4163200	0	2303600	135930	1992900	12941000	2707300	3993100	2283400	137540	280700	0	239770	0	0	0	1459900	1497000	2089600	39101000	0	116100000	135440000	126880000	0	44331000	34862000	52172000	449670016	63004000	226560000	53140000	34012000	62119000	0	13237000	0	0	0	150030000	136470000	145570000	Bos taurus				9913	Q2KIV9;A0A3B0J267
21434000	2321800	101300000	136970000	4345999872	5775699968	381769984	58801000	229080000	247410000	1375900032	136440000	1390000000	80879000	114730000	1564499968	18523000832	71567000	16756000	438780000	1182099968	953560000	1145900032	1648700	103850	4441300	8048200	228550000	297740000	17319000	2742000	13252000	14861000	77801000	8029100	80394000	4245300	5947700	82050000	790649984	2744300	854360	24324000	51286000	53815000	47765000	22885000	3784100	68772000	109390000	2998299904	4514299904	222310000	41795000	175130000	189310000	1013899968	114740000	1069600000	60013000	86471000	1267699968	10968000512	5337700	8156900	308310016	676700032	730729984	644979968	Bos taurus				9913	Q3Y5Z3;A0A3B0J3V0;A0AAA9TX29;A0AAA9S2W2
0	2118500	38648000	36018000	16001000	12545000	0	0	0	21220000	72381000	22087000	0	0	13255000	900880	11580000	0	0	0	170910000	0	0	0	64198	1171200	1091500	484890	380150	0	0	0	643040	2193400	669290	0	0	401650	27300	350900	0	0	0	5179200	0	0	0	2118500	38648000	36018000	16001000	12545000	0	0	0	21220000	72381000	22087000	0	0	13255000	900880	11580000	0	0	0	170910000	0	0	Bos taurus				9913	A0A3Q1LTM2;A0AAA9SD60;E1B7Q0;A0A3Q1LF92
0	0	0	0	22125000	26329000	0	0	0	0	191310000	0	45372000	0	8956500	5816400	168270000	0	0	9608100	10027000	9637700	9356100	0	0	0	0	1229200	320150	0	0	0	0	3076900	0	474140	0	497580	88946	3331500	0	0	533780	557070	535430	519780	0	0	0	0	29427000	29628000	0	0	0	0	191310000	0	52562000	0	11912000	6545100	160970000	0	0	12779000	13337000	12818000	12444000	Bos taurus				9913	Q29423;Q0VD03;F6RT51;A0A3Q1MHE2;F1MHC3;A0A3Q1M161;F1MQT9;A0A3Q1M0L0;A0A3Q1LZS6;A0A3Q1LHV0;A0AAA9SC17;A0A3Q1MDJ9
0	0	34509000	0	0	0	0	0	0	0	18163000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113200	0	0	0	0	0	0	0	585900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52672000	0	0	0	0	0	0	0	52672000	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A0A3Q1LM23;Q2T9U2;A0A3Q1LHX7;A0A3Q1M355;A0A3Q1MC61;F1MU43
967000000	41274000	3375800064	5059899904	17819000	0	110270000	219290000	93524000	763459968	43051000	994780032	23807000	24517000	5119800	0	0	1811500	0	117990000	1146700032	909260032	1023499968	12779000	445650	41626000	61556000	145860	0	1528800	3265800	1303600	10345000	462700	12603000	449190	386240	96601	0	0	34180	0	1785900	14201000	10898000	14374000	157590000	10831000	589870016	726209984	28397000	0	44235000	48196000	37612000	139200000	26221000	201260000	24974000	13735000	9224600	0	0	5099200	0	39235000	210490000	219090000	205760000	Bos taurus				9913	F1N045;A0A3Q1LI40
