Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Majority protein IDs
E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	T
0	1038900	0	0	0	0	7576000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	O97680
0	0	0	0	0	0	14758000	0	21158000	28872000	13480000	0	0	0	7074100	0	0	7308600	5897100	0	0	0	0	P00432
0	0	0	0	0	0	0	0	0	0	9239400	0	7709300	0	0	0	0	0	0	0	0	0	0	P00515
698110016	640449984	1073200000	781880000	4172000000	5001500160	555539968	282020000	779880000	2179000064	5788400128	1229400064	3908999936	410590016	305660000	486560000	7056000000	6298600	723710016	240760000	1894000000	1784400000	1974999936	P00735
60745000	21523000	139990000	108690000	625560000	895059968	46160000	29029000	62391000	175880000	152440000	142940000	180280000	17719000	13016000	7451900	186810000	0	0	0	255530000	261240000	222590000	P00741
19017000	3388000	305460000	368350016	585240000	665110016	60542000	248310000	88684000	219300000	568600000	244910000	354060000	322680000	38195000	108740000	2025799936	5371900	4492500	0	248090000	252620000	252580000	P00743
16579000	2402200	15393000	41652000	143330000	139380000	18338000	21420000	15080000	30740000	153250000	21231000	108490000	18877000	8908200	7845800	290740000	0	0	0	50464000	41677000	39148000	P00744
20084000	0	126550000	101130000	437929984	562350016	0	72696000	0	0	80494000	31604000	148920000	60136000	8120000	13862000	188530000	0	0	0	113970000	114870000	106180000	P00745
87995000	7218300	1313299968	1447100032	4724700160	7020100096	303560000	83402000	220370000	403660000	5584699904	422990016	3705499904	74653000	116080000	1312600064	16999999488	116990000	23932000	583990016	1482000000	1546099968	1550199936	P00978
416700000	53754000	187260000	300020000	119580000	88807000	348910016	37775000	243200000	412100000	328150016	167360000	362560000	49804000	95902000	9290300	88133000	15906000	41005000	547880000	228520000	238930000	217610000	P01017
574780032	25380000	1843900032	1709799936	2619399936	1547200000	748460032	486790016	1326700032	981670016	1866300032	1179699968	2547200000	333960000	240430000	48343000	1059299968	11077000	17315000	142210000	1397900032	1335600000	1383200000	P01030
187050000	37838000	25896000	80286000	0	0	128550000	42775000	200050000	38202000	0	29213000	19321000	41872000	0	0	0	0	0	21418000	35346000	40531000	38792000	P01035
736489984	105860000	1253600000	919740032	909390016	288529984	1101699968	148870000	1501100032	1708199936	697920000	746929984	584040000	143030000	273849984	17798000	259620000	24641000	54909000	812489984	979870016	953510016	974400000	P01044
170510000	15298000	340649984	233680000	193100000	65858000	258080000	44170000	282769984	357910016	166120000	151700000	154780000	47144000	69029000	4453300	48825000	6645000	8169500	182850000	215240000	203870000	206180000	P01045
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374750	0	0	0	0	0	0	0	P01252
0	0	0	0	34034000	49950000	0	0	0	0	148170000	0	78583000	0	0	0	85155000	0	0	0	17851000	0	496080000	P01267
44664000	0	0	0	0	0	71699000	81346000	151460000	49933000	31393000	40334000	34446000	167410000	12154000	0	0	0	0	33745000	0	0	0	P01888
7071300096	5753699840	2858599936	6536699904	2110300032	1886400000	8366199808	1398700032	13859000320	4866800128	6223900160	2845900032	3579599872	1426300032	3789999872	126500000	2873200128	17141000192	25492000768	2473499904	4056600064	5217099776	4184999936	P01966
27209000	0	34345000	93346000	0	0	48061000	15878000	96488000	39292000	67908000	22378000	33306000	0	26685000	0	0	0	0	46853000	34401000	35138000	34682000	P02070
7734400000	4565400064	2632300032	7251500032	1077400064	769470016	7036199936	1089900032	12757000192	3712100096	3593999872	2290700032	3039000064	621619968	2261600000	89837000	1030099968	1704899968	4846300160	2507399936	3921999872	3861900032	3796999936	P02081
24812000	0	693969984	769180032	24720000	0	57697000	156190000	61137000	650110016	0	770739968	32195000	36322000	14704000	5822800	0	0	0	22723000	356710016	322780000	342020000	P02453
0	0	381220000	366249984	32043000	0	69559000	295790016	145050000	779390016	0	448169984	19894000	114260000	43206000	0	0	0	0	0	239950000	258970000	268480000	P02459
0	0	411480000	402350016	0	0	0	70210000	37498000	360400000	17310000	447630016	18338000	17781000	0	0	0	0	0	0	190520000	169250000	196890000	P02465
0	0	0	0	0	0	0	0	0	0	0	0	6994700	0	0	0	7920100	0	8533400	0	0	0	0	P02510
5005300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P02584
0	0	0	0	0	7366700	10904000	0	12948000	0	0	0	38878000	0	0	0	0	0	0	0	7659100	0	0	P02639
940760000	89425000	172230000	980569984	162440000	113380000	104340000	43245000	179140000	187380000	210990000	152880000	196980000	39153000	80996000	5721700	86804000	46533000	56797000	154750000	193270000	214430000	212690000	P02672
445880000	28442000	294240000	327870016	77794000	52631000	40450000	14155000	71102000	68223000	109220000	71293000	63134000	15465000	42666000	0	44319000	41761000	49527000	46638000	97154000	104790000	99259000	P02676
13358000128	3276699904	15624999936	18480001024	17980000256	19478999040	43931000832	7027500032	35127001088	42929000448	49484001280	24864999424	46599999488	11863000064	24881999872	3116399872	14798999552	2385400064	4997199872	73593004032	33048000512	34083000320	34027999232	P02769
88260000	22948000	105780000	126230000	34872000	0	271249984	24429000	544529984	439040000	73560000	168140000	0	16183000	49659000	0	16823000	0	0	0	127850000	142150000	137800000	P04815
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16870000	0	0	0	0	0	0	P05059
0	0	0	0	17294000	25680000	0	0	0	0	56807000	0	52848000	0	0	3694000	84617000	0	0	0	0	0	0	P05307
0	0	0	0	0	0	0	0	0	5084200	0	0	0	0	0	0	0	0	0	0	0	0	0	P06623
234350000	11434000	123150000	232930000	109320000	77496000	244630000	27291000	235130000	278600000	275080000	242790000	213700000	39166000	66961000	5245200	83245000	0	8026300	254500000	203270000	163680000	172070000	P06868
72427000	4539600	347630016	153660000	930920000	1046000000	65687000	43387000	62996000	166710000	109630000	197670000	127000000	35832000	13321000	5537700	88830000	0	0	45113000	276840000	263060000	281860000	P07224
0	0	0	18921000	0	0	147790000	16313000	185470000	61526000	0	25473000	0	20119000	0	0	0	0	0	0	27501000	30391000	34392000	P07455
83725000	30713000	127920000	168470000	22666000	0	1203000064	239570000	2288600064	312969984	21511000	132850000	14969000	494580000	23282000	0	0	0	0	15369000	205590000	216700000	201650000	P07456
0	3019300	11396000	30157000	24587000	20358000	206470000	0	286480000	145160000	45826000	41000000	30688000	3859500	17716000	0	11789000	0	3024200	0	67071000	49451000	61990000	P07507
253400000	20884000	844920000	591769984	757670016	468360000	158530000	25588000	198810000	263100000	371969984	309649984	363550016	30263000	152550000	5525000	107350000	84252000	93714000	0	353110016	420849984	414609984	P07589
39873000	12726000	0	15286000	0	0	0	0	0	0	0	0	0	0	0	0	7078200	0	0	0	0	0	0	P08037
0	0	0	0	47449000	51823000	4374000	0	0	0	0	0	51823000	0	0	0	0	0	0	0	0	0	0	P08169
0	0	0	0	0	0	10820000	0	22066000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P09867
0	2162900	6904100	7722400	13580000	10793000	34461000	4461800	79887000	73574000	185100000	8499900	39354000	4922500	36167000	0	16468000	2628000	12488000	0	24081000	15244000	16387000	P0C0S9
0	0	0	0	0	4873400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P63048
283800000	102350000	307060000	318340000	331289984	308590016	182790000	73505000	379640000	418880000	450800000	316209984	560689984	45367000	78415000	10275000	298889984	152600000	369880000	0	300289984	298590016	307310016	P10096
0	0	22499000	0	0	0	0	0	0	0	0	0	0	0	22499000	0	0	0	0	0	0	0	0	P10103
32382000	0	53067000	47345000	0	0	294049984	84531000	732360000	635699968	0	128420000	0	103170000	0	0	0	0	0	0	139790000	84724000	0	P10152
28152000	8638300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3442900	5904200	0	0	0	0	P11116
77078000	7590100	202360000	220830000	94118000	73131000	375720000	111760000	529129984	379809984	252240000	269460000	238450000	142980000	109090000	4473500	96081000	22899000	25846000	0	181980000	184410000	171850000	P12260
0	7607000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7209300	0	0	0	0	P12378
0	2533400	0	2664100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P12624
135070000	44536000	0	0	126050000	125850000	45605000	22176000	0	0	155910000	0	0	12945000	13314000	0	123640000	0	170180000	0	114480000	0	0	P12661
46748999680	1218700032	7604800000	10131999744	12944000000	14876000256	22378000384	4184100096	21689999360	35066998784	40940998656	24932999168	34151000064	8008600064	14616999936	1405900032	11239999488	1387200000	2816999936	54880002048	24590000128	22080000000	21643999232	P12763
495169984	30841000	270110016	294740000	75898000	46200000	49575000	15287000	106320000	69762000	113360000	65450000	40907000	17863000	50367000	0	32181000	46642000	58128000	0	108380000	93456000	90169000	P12799
0	6311700	18004000	17074000	25234000	23143000	105440000	14323000	154040000	37783000	0	18677000	0	23673000	0	0	0	9034600	10009000	0	24554000	26262000	27768000	P13135
0	0	0	0	108960000	116070000	0	0	0	0	37730000	0	67343000	0	0	29137000	320360000	29442000	0	0	21989000	20655000	22771000	P13213
465140000	148930000	593480000	752419968	57090000	0	134150000	49243000	316110016	916030016	0	815710016	51545000	30765000	37028000	0	0	0	0	29639000	399920000	388750016	392780000	P13384
0	0	0	0	137620000	158460000	11868000	0	25794000	0	1179699968	26444000	505200000	0	22212000	65014000	820760000	3791000	12396000	0	83448000	77685000	70557000	P13605
0	0	0	0	93356000	92620000	7637100	0	0	0	1066099968	33185000	308420000	0	47634000	11699000	404200000	2259500	13518000	0	53797000	48128000	55412000	P13608
28808000	10319000	31382000	24237000	11697000	0	0	0	0	29922000	0	18675000	34768000	0	0	0	13668000	5639400	6556400	0	0	0	12794000	P14568
72321000	14261000	76660000	77927000	0	0	144710000	0	309169984	389100000	0	166140000	0	0	36859000	0	0	0	0	0	114150000	94793000	102020000	P15467
9396200448	1264000000	1796800000	3396600064	2122499968	1727900032	2786599936	1247000064	3276699904	3101400064	4298999808	1078300032	3198099968	1611699968	978390016	88673000	945609984	3626299904	7339800064	3592100096	2544800000	2052800000	2313400064	P15497
0	0	18481000	12895000	0	0	0	4036500	0	0	0	15940000	0	2632700	0	0	0	0	0	0	0	0	0	P16368
8199900160	1570599936	8392000000	8225900032	201610000	74141000	1104999936	1398700032	1448700032	2494299904	433100000	3036499968	374670016	859529984	149090000	12637000	111680000	15642000	26550000	593160000	2915099904	2946700032	2891300096	P17690
601230016	147010000	521049984	427560000	570030016	577190016	154810000	90579000	212240000	305449984	661580032	261550000	542760000	65158000	54163000	24694000	561600000	401620000	1183200000	85711000	357260000	379710016	346129984	P17697
13941000	0	331609984	443409984	76491000	30713000	130510000	62800000	152590000	192430000	139070000	163920000	206320000	45698000	47789000	0	5769500	0	0	215940000	191490000	171250000	191780000	P18902
0	14786000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39527000	101390000	0	0	0	0	P19034
692609984	420500000	298300000	156160000	80543000	79760000	185390000	35231000	368470016	107070000	198850000	76609000	97273000	43447000	49766000	3942100	67917000	809539968	2016099968	61702000	183360000	173190000	191680000	P19035
24011000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19217
0	0	0	0	23087000	22921000	36389000	0	31935000	0	133820000	0	70374000	0	8986000	5492700	69970000	0	0	0	0	9580300	10906000	P19427
6115600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19534
0	18737000	0	0	0	0	0	0	29049000	0	28773000	0	0	11048000	0	0	0	0	0	0	0	0	0	P19660
0	4192000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P19661
0	0	12529000	15159000	0	0	0	3361300	0	0	0	10997000	0	3329600	0	0	0	0	0	0	0	0	0	P19803
23458000	12702000	8632900	18541000	6221600	0	11564000	2092400	13462000	19677000	13275000	9408000	10706000	0	2370700	0	4850400	7501400	11108000	11105000	11763000	8267300	11673000	P19858
0	0	0	0	0	7184300	0	0	0	0	0	0	18917000	0	0	8750900	101920000	0	0	0	0	0	0	P19879
0	0	0	0	0	0	0	0	11643000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P20414
69343000	10194000	80983000	81938000	23658000	0	130670000	21308000	223710000	292620000	0	128440000	0	19896000	50060000	0	0	0	0	0	88706000	82880000	82172000	P20959
0	0	0	0	0	0	0	0	0	0	0	0	0	0	3855400	0	0	0	0	0	0	0	0	P21782
0	0	0	0	0	0	63155000	0	67101000	0	116750000	0	0	9622500	61811000	0	36992000	25134000	63739000	0	0	0	0	P21793
0	0	0	0	0	8890800	60524000	6342900	102620000	0	196060000	0	35191000	10226000	104120000	0	42577000	15681000	53852000	0	13647000	0	8885700	P21809
95276000	15547000	48918000	50440000	53146000	52131000	37139000	20968000	32299000	45141000	40592000	34796000	68191000	21552000	8752900	0	68264000	5577900	11227000	0	40144000	33675000	35816000	P22226
0	0	0	12060000	70065000	104570000	0	0	0	0	0	0	0	0	0	0	27320000	0	0	0	14824000	0	14665000	P22457
0	0	14094000	29446000	16819000	13140000	687180032	20373000	720150016	15294000	55867000	12677000	35579000	32239000	395440000	23949000	326790016	0	0	0	73444000	79759000	71374000	P23206
19091000	9917000	27141000	36492000	13722000	0	94759000	15418000	144970000	142860000	0	38853000	0	25179000	22837000	0	22606000	0	0	0	49394000	48834000	47191000	P24591
0	5491900	0	0	0	0	72070000	20056000	121260000	98333000	0	22346000	0	25051000	26032000	0	0	0	0	0	25999000	28184000	27936000	P24627
0	0	0	0	0	0	0	0	0	16545000	0	0	0	0	0	0	0	0	0	0	0	0	0	P28782
0	0	0	0	0	0	0	0	0	14202000	0	6867600	0	0	12673000	0	0	1973900	0	0	0	4000600	0	P28783
274209984	44515000	232660000	316070016	262440000	256320000	375369984	104890000	445280000	551089984	1732899968	257990000	524340000	152780000	234750000	47086000	949009984	30600000	53746000	564680000	381350016	360020000	285329984	P28800
0	0	0	0	0	0	41706000	0	71230000	0	0	0	0	7875100	4936800	0	0	0	0	0	0	0	6573600	P30922
0	0	0	0	0	0	0	0	0	0	115830000	0	49868000	0	0	0	0	0	9560000	0	0	0	0	P30932
0	0	0	20441000	14952000	8852000	0	0	10593000	0	13624000	0	13840000	0	0	0	24318000	0	0	0	0	0	7766900	P31098
0	0	0	0	132230000	161100000	0	0	0	0	270480000	0	131280000	0	0	16756000	276840000	12747000	0	0	32135000	28368000	35949000	P31836
0	0	0	0	0	0	0	0	0	626760000	0	180540000	0	0	0	0	0	0	0	0	0	0	0	P31976
34440000	32832000	0	0	0	0	52501000	14766000	79987000	0	19047000	0	0	24360000	0	0	0	0	5739600	0	12127000	11534000	10881000	P33046
0	9125900	13223000	29166000	0	0	0	0	28446000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P33072
27769000	0	226820000	98596000	50494000	17215000	20693000	59062000	30857000	348620000	45579000	247440000	32750000	31521000	10610000	0	19887000	0	0	0	131140000	137020000	112790000	P33433
0	0	0	0	16078000	14040000	0	0	0	0	56851000	0	64339000	0	0	1445500	70343000	0	0	0	8850600	0	8205300	P33672
6442599936	808689984	5101599744	5394899968	3865900032	4865399808	12974000128	2049900032	10988999680	15971000320	16931000320	5476100096	15491000320	3413199872	5733100032	554240000	4003099904	1427800064	2152399872	23029999616	9308199936	10453000192	8740400128	P34955
20335000	2337600	74757000	91299000	71111000	120020000	31893000	16704000	0	65775000	38514000	27692000	0	11556000	10672000	0	0	0	0	48686000	60275000	37366000	45587000	P35445
18101000	17990000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17613000	73469000	0	0	0	0	P35541
106710000	47749000	0	0	44973000	43198000	41683000	12432000	48803000	0	50565000	0	64111000	20720000	11202000	0	33280000	34393000	57262000	0	29895000	25684000	30275000	P37141
0	0	0	0	20737000	0	0	0	44089000	62355000	0	22100000	18370000	0	7004300	0	0	0	0	0	19951000	21414000	24311000	P38657
0	0	38001000	39449000	0	0	18519000	24861000	66139000	143970000	0	72013000	0	30640000	0	0	0	0	0	0	31159000	33394000	27007000	P39873
0	0	0	0	0	0	0	0	37997000	25009000	24328000	0	0	0	24907000	0	20999000	0	0	0	0	0	0	P40673
1373400064	987649984	1588899968	1849500032	1554499968	659249984	749270016	454169984	1130099968	2822799872	1028699968	2029100032	1562199936	291840000	369550016	23740000	442780000	161470000	466920000	516940000	1488300032	1422800000	1873799936	P41361
0	0	0	0	0	0	0	1281800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P42916
10904000	0	28516000	20865000	0	0	0	0	0	43999000	0	0	0	0	4146000	0	0	0	0	0	8253100	13490000	0	P49907
277969984	21765000	3682700032	3437299968	415120000	359300000	272169984	377780000	246590000	1451000064	606339968	1162499968	411780000	316340000	85447000	19780000	258820000	7853600	10475000	276100000	1381699968	1588099968	1456499968	P50448
0	0	0	0	18950000	28618000	0	0	0	0	158570000	0	73849000	0	0	0	79109000	0	0	0	0	0	0	P52193
50412000	2850900	0	0	0	0	0	0	21353000	0	0	14081000	16477000	0	0	0	0	0	0	0	0	8870600	0	P52556
0	0	0	0	0	0	0	0	24281000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P54228
0	0	0	0	0	11002000	0	0	0	0	137020000	0	24701000	0	21825000	0	18994000	0	5250500	0	0	0	0	P55252
83753000	12036000	62147000	81959000	49668000	44385000	38137000	23076000	59901000	86640000	61119000	75508000	60799000	18484000	0	0	23897000	8242800	0	14669000	55677000	53064000	52136000	P55906
0	0	0	0	0	0	116470000	26314000	0	0	0	0	0	33165000	178090000	20436000	151700000	13921000	0	0	0	0	0	P55918
0	0	3601400	3394200	0	0	6239100	0	9661300	13399000	0	6045200	0	0	2566200	0	2665800	0	0	8692300	5462700	4232800	0	P68301
21832000	22938000	10598000	12426000	6711000	6526000	60198000	13926000	75771000	29490000	32823000	0	0	24144000	10218000	0	0	12662000	66846000	0	21739000	20936000	19704000	P56425
64020000	0	820790016	657160000	1706899968	1484599936	85537000	29796000	100510000	162490000	1724400000	215520000	1374200064	22304000	42839000	165880000	4672999936	0	0	0	537520000	640179968	608609984	P56651
115030000	11079000	690830016	739510016	4680600064	5294400000	197290000	29924000	171700000	176700000	4984699904	193530000	3005799936	35605000	80672000	627400000	9933400064	12495000	22909000	389310016	1143600000	1249699968	1234099968	P56652
0	0	0	0	0	0	75384000	0	0	0	0	0	47745000	0	0	0	52357000	0	0	0	0	0	0	P56701
13504000	6408500	39346000	44066000	47834000	44171000	83210000	16339000	156130000	148620000	165570000	113320000	154230000	14942000	35687000	7647700	133480000	0	0	0	79148000	74360000	75991000	P60661
1731600000	105040000	424009984	646609984	348520000	304649984	215640000	78415000	193470000	324000000	428630016	246760000	397990016	78667000	66091000	9098400	200780000	53209000	64147000	169740000	332080000	311360000	309430016	P60712
23132000	6384900	66225000	65183000	64634000	39362000	24970000	9487200	0	49484000	79556000	61156000	47820000	0	0	0	54797000	21713000	15781000	0	37533000	46941000	38707000	P61223
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7926500	0	0	0	0	P61356
0	7389900	0	0	0	0	0	3912600	0	49999000	0	16681000	0	0	0	0	0	3861800	6242800	0	0	0	0	P61585
0	0	0	0	0	23498000	0	0	11946000	0	0	0	38925000	0	0	5877300	48981000	0	0	0	0	0	0	P62157
0	0	0	0	51318000	61291000	0	0	0	0	32833000	0	41842000	0	0	10173000	210840000	0	0	0	0	0	0	P62261
0	1360100	0	10947000	25597000	0	29839000	11101000	59604000	39626000	280969984	14528000	51647000	8700200	53845000	0	40492000	29700000	53629000	0	25749000	18783000	18077000	P62803
6713500	0	0	0	12642000	0	105270000	4494900	186860000	44236000	206300000	14349000	64579000	13620000	40237000	0	13358000	15098000	62106000	0	22232000	21565000	34909000	Q32L48
0	0	15347000	13401000	0	0	12699000	6629300	35309000	18492000	0	20207000	0	0	4539500	0	5730900	0	0	0	14171000	7144600	8237600	P62935
0	10938000	0	0	0	0	0	0	0	11558000	0	0	0	0	0	0	0	2558900	4800200	0	0	8534900	0	P62998
0	0	9482400	0	79161000	103200000	0	0	0	0	45629000	0	49441000	0	0	12811000	256070000	0	0	0	0	20151000	18346000	P63103
183920000	102950000	167030000	175580000	63436000	34224000	111670000	35896000	257630000	740880000	92612000	408140000	85985000	25260000	52184000	1991800	56448000	24458000	45972000	0	213910000	232630000	243110000	P68103
458350016	24039000	138350000	172390000	80000000	67097000	43851000	17299000	50314000	75944000	122610000	59624000	105720000	24785000	23870000	3797900	42114000	15077000	20450000	71927000	71199000	98880000	91129000	Q3ZC07
0	0	0	0	10524000	12669000	0	0	0	0	0	0	0	0	0	3108100	59053000	0	0	0	0	0	0	P68250
0	0	0	0	0	17904000	0	0	0	0	0	0	0	0	0	0	19564000	0	0	0	0	0	0	P68252
0	0	0	0	3139100	4966100	0	0	0	0	0	0	0	0	0	0	5594200	0	0	0	0	0	0	P68509
