Intensity 31_200_PS Carb_10	Intensity 32_200_PS Carb_100	Intensity 33_small_Citrate_10	Intensity 34_large_Citrate_10	Intensity 35_small_PEI_10	Intensity 36_large_PEI_10	Intensity 37_large_PVP@AU_100	Intensity 38_small_PVP@AU_10	Intensity 39_small_PVP@AU_100	Intensity 40_large_Citrate_100	Intensity 41_large_PEI_100	Intensity 42_small_Citrate_100	Intensity 43_small_PEI_100	Intensity 44_large_PVP@AU_10	Intensity 45_large_PEG@Au_100	Intensity 46_large_PEI@Au_100	Intensity 47_small_PEI@Au_100	Intensity 48_200_PS Carb@ PEG_100	Intensity 49_200_PS Carb@ PEG_100	Intensity 50_FBS	Intensity 51_SPQC1	Intensity 52_SPQC2	Intensity 53_SPQC3	iBAQ 31_200_PS Carb_10	iBAQ 32_200_PS Carb_100	iBAQ 33_small_Citrate_10	iBAQ 34_large_Citrate_10	iBAQ 35_small_PEI_10	iBAQ 36_large_PEI_10	iBAQ 37_large_PVP@AU_100	iBAQ 38_small_PVP@AU_10	iBAQ 39_small_PVP@AU_100	iBAQ 40_large_Citrate_100	iBAQ 41_large_PEI_100	iBAQ 42_small_Citrate_100	iBAQ 43_small_PEI_100	iBAQ 44_large_PVP@AU_10	iBAQ 45_large_PEG@Au_100	iBAQ 46_large_PEI@Au_100	iBAQ 47_small_PEI@Au_100	iBAQ 48_200_PS Carb@ PEG_100	iBAQ 49_200_PS Carb@ PEG_100	iBAQ 50_FBS	iBAQ 51_SPQC1	iBAQ 52_SPQC2	iBAQ 53_SPQC3	Top3 31_200_PS Carb_10	Top3 32_200_PS Carb_100	Top3 33_small_Citrate_10	Top3 34_large_Citrate_10	Top3 35_small_PEI_10	Top3 36_large_PEI_10	Top3 37_large_PVP@AU_100	Top3 38_small_PVP@AU_10	Top3 39_small_PVP@AU_100	Top3 40_large_Citrate_100	Top3 41_large_PEI_100	Top3 42_small_Citrate_100	Top3 43_small_PEI_100	Top3 44_large_PVP@AU_10	Top3 45_large_PEG@Au_100	Top3 46_large_PEI@Au_100	Top3 47_small_PEI@Au_100	Top3 48_200_PS Carb@ PEG_100	Top3 49_200_PS Carb@ PEG_100	Top3 50_FBS	Top3 51_SPQC1	Top3 52_SPQC2	Top3 53_SPQC3	Species	Only identified by site	Reverse	Potential contaminant	Taxonomy IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	T
0	0	160720000	96120000	0	0	288350016	112110000	0	24616000	0	54820000	0	105480000	0	0	0	0	0	0	19156000	7164700	32547000	0	0	2075700	1758400	0	0	156230	1013600	0	191490	0	588970	0	200960	0	0	0	0	0	0	230230	159210	219580	0	0	143070000	111110000	0	0	365849984	60390000	0	69065000	0	81421000	0	97470000	0	0	0	0	0	0	45517000	39629000	57796000	Bos taurus				9913	A5D7B7
0	0	0	0	8879600	27496000	0	0	0	0	0	0	11293000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161450	178320	0	0	0	0	0	0	205320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13820000	17772000	0	0	0	0	0	0	31592000	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A5D7D1
0	0	5539800	3951000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149720	106780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5539800	3951000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A5D7I4
0	2137900	0	0	0	23245000	0	0	0	0	23751000	0	32106000	0	0	0	11971000	0	13642000	0	0	4221200	0	0	133620	0	0	0	316370	0	0	0	0	1021400	0	2006600	0	0	0	428780	0	382580	0	0	263830	0	0	6443600	0	0	0	32271000	0	0	0	0	44438000	0	48048000	0	0	0	15405000	0	13424000	0	0	0	0	Bos taurus				9913	A5D989
2261100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2261100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bos taurus				9913	A5PKI3
0	0	10402000	8253300	42271000	41212000	0	0	0	0	951420032	9546400	263560000	0	70401000	1021500	285500000	0	0	0	12062000	19236000	16295000	0	0	743020	589520	484900	838550	0	0	0	0	20548000	681890	5019300	0	819850	72965	4313000	0	0	0	861590	457420	1163900	0	0	23419000	18581000	42271000	42503000	0	0	0	0	464020000	21492000	177030000	0	53813000	2299800	162040000	0	0	0	27157000	30528000	36687000	Bos taurus				9913	A6H767
10770000	10318000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31215000	45117000	0	0	0	0	512840	213290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1274200	1539700	0	0	0	0	15088000	4652400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12228000	15650000	0	0	0	0	Bos taurus				9913	A6H768
0	0	5451600	10706000	0	0	32447000	1298300	7758200	57896000	81255000	32268000	85898000	2048600	0	0	0	0	0	18547000	8515800	37293000	20982000	0	0	181720	356870	0	0	1081600	43278	258610	1929900	2708500	1075600	2863300	68285	0	0	0	0	0	618220	283860	1243100	699410	0	0	5451600	10706000	0	0	32447000	1298300	7758200	57896000	81255000	32268000	85898000	2048600	0	0	0	0	0	18547000	8515800	37293000	20982000	Bos taurus				9913	A6QNT4
0	0	0	0	0	0	37921000	18322000	72366000	76669000	32576000	4380300	158080000	6518200	10478000	10251000	0	7022700	7794600	194930000	83541000	38360000	114260000	0	0	0	0	0	0	537340	704690	2783300	2948800	856980	168470	920920	179070	309350	394260	0	270100	299790	1140400	555300	527110	631610	0	0	0	0	0	0	37921000	22033000	87023000	92197000	32576000	5267400	158080000	6518200	10478000	12327000	0	8445000	9373300	194930000	83541000	38360000	114260000	Bos taurus				9913	A6QPQ2
5044900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6868600	168160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228950	11913000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11913000	Bos taurus				9913	A6QQF6
